model,XGB_fft_lab_CV1,XGB_fft_lab_field_CV1,XGB_fft_lab_CV2,XGB_fft_lab_field_CV2,XGB_fft_lab_CV3,XGB_fft_lab_field_CV3,XGB_fft_lab_CV4,XGB_fft_lab_field_CV4,XGB_fft_lab_CV5,XGB_fft_lab_field_CV5
n_CV,1,1,2,2,3,3,4,4,5,5
train_acc,0.9984761904761905,0.9949206349206349,0.9975828729281768,0.9954765193370165,0.9974844432675758,0.9951674831192904,0.9997232982844494,0.99674875484228,0.9962977654369959,0.9942483141610472
train_f1,0.998476190451619,0.9949206336101609,0.9975828728244228,0.995476504186452,0.9974844432234802,0.9951674820815932,0.999723298263264,0.9967487522129779,0.9962977638188566,0.9942483132560452
test_lab_acc,0.9946143903489875,0.9946143903489875,0.993421052631579,0.9923684210526316,0.997847533632287,0.997847533632287,0.9922606924643584,0.9896809232858113,0.9966748337416871,0.9961498074903745
test_lab_f1,0.9946348847215704,0.9946366344246425,0.993453817055372,0.9923876294648813,0.9978496344727894,0.9978501565415816,0.9922614901528608,0.9896957250867311,0.9966827035655729,0.996160340192903
test_field_acc,0.975641130349559,0.9905259719046063,0.9871503866425576,0.9934020697880198,0.8933097205824478,0.9841204250295159,0.9822944617956275,0.9916421061892403,0.9479922501234662,0.989305930175132
test_field_f1,0.9763363505607874,0.9906118519881294,0.987333996152976,0.9934476284636158,0.9038103564098909,0.9843924514240923,0.9826608289120667,0.9916968303831036,0.9511306733536908,0.9894418043662888
lr,0.17704800461847162,0.10108924421311931,0.1520800473978663,0.1907930166985537,0.16814066780133133,0.08311098064918439,0.1968421717235266,0.15948794829009647,0.04706527583302417,0.06716297209473868
n_estimators,49.0,26.0,10.0,40.0,32.0,49.0,35.0,37.0,41.0,41.0
max_depth,8.0,8.0,6.0,5.0,4.0,6.0,10.0,7.0,5.0,6.0
subsample,0.9184482898304691,0.8211262092839968,0.7072136355540704,0.9798406095870635,0.5341739451978137,0.8927220111670853,0.8510522837432068,0.7707249802774454,0.6793225761817308,0.736565022974268
colsample_bytree,0.5532097659356914,0.8452009772577507,0.7626415817863417,0.7973812517375518,0.827976555062343,0.5030451398375634,0.9952989644964304,0.8223080150618295,0.7980868253309877,0.645736214033369
gamma,4.96354808168871,4.16907498307875,0.003113830538417204,0.10370600516026246,0.00017545945161182702,2.4133407229288757,0.24962773237097086,0.0022532137523723,0.14966987075947752,0.5189398103570424
val_f1,0.9989522212908634,0.9949849820946173,0.9983182989109265,0.9953858086561264,0.9991324295198735,0.9941267004614612,0.9993809965954813,0.9953740481453489,0.9982364330040833,0.9928953617444459
